year,population,Marriages,Divorces,Births Total,Live births,Illegitimate births,Abortions Total,Induced abortions,pregnancies,Deaths Total,Deaths under 1 year,Neonatal deaths,Natural increase,Net migration,Total population increase
1920,10192132,104851,4852,246976,240338,29362,.,.,.,151914,35332,15875,88424,-10050,78374
1930,10546718,100078,4691,214719,209549,26387,.,.,.,149699,27431,11686,59850,-5802,54048
1940,10980806,104406,7379,181749,177580,16743,.,.,.,144448,16220,7309,33132,.,.
1946,9523266,93909,11711,213850,210454,19502,.,.,.,134568,19721,8482,75886,.,.
1947,8765230,97815,10409,210092,206745,18254,.,.,.,105277,15962,7038,101468,49731,151199
1948,8893104,95844,10834,200810,197837,15939,.,.,.,101501,14138,5654,96336,720,97056
1949,8892613,93898,10625,188219,185484,12980,.,.,.,104632,12454,5063,80852,3202,84054
1950,8925122,95166,11312,191655,188341,12270,.,.,.,103203,12088,5381,85138,16784,101922
1951,9023170,91333,10261,188756,185570,11029,.,.,.,102658,10601,4682,82912,12910,95822
1952,9125183,78579,11219,182995,180143,9992,.,.,.,97726,8089,4201,82417,21022,103439
1953,9220908,70309,9897,174629,172547,9648,25175,.,.,98837,6034,2891,73710,11325,85035
1954,9290617,70720,9989,170300,168402,9767,25773,.,.,99636,5086,2854,68766,-2376,66390
1955,9365969,71263,12221,167731,165874,9464,25850,.,.,93300,4627,2681,72574,3437,76011
1956,9442040,80701,12809,164243,162509,9325,25079,.,.,93526,4181,2259,68983,6176,75159
1957,9513758,62760,12521,157157,155429,9131,27967,.,.,98687,3919,2122,56742,6832,63574
1958,9574650,68635,13589,143251,141762,7762,67643,49035,210894,93697,3461,1878,48065,6118,54183
1959,9618554,71354,13222,130310,128982,6680,79269,61914,209579,97159,2721,1607,31823,8054,39877
1960,9659818,74173,12970,130161,128879,6395,85213,67550,215374,93863,2581,1688,35016,6521,41537
1961,9588016,74003,13939,132201,131019,6088,87362,70062,219563,94973,2534,1594,36046,4911,40957
1962,9621808,77296,14137,134695,133557,6045,83565,66031,218260,104318,2815,1774,29239,5823,35062
1963,9668741,80118,14703,150062,148840,7143,71677,51470,221739,100129,2927,1881,48711,8277,56988
1964,9730019,80573,14446,155666,154420,7556,70888,51524,226554,101984,2948,1963,52436,4814,57250
1965,9785102,81757,16196,148545,147438,7487,76341,58554,224886,105108,3497,2549,42330,3528,45858
1966,9826188,84807,17435,142206,141162,7586,83316,65818,225522,105784,3095,2250,35378,2127,37505
1967,9854241,87214,17352,139413,138448,7407,86731,69850,226144,108967,2973,2154,29481,-3267,26214
1968,9877632,89146,18647,138396,137437,7491,89089,72488,227485,115195,2969,2195,22242,-1562,20680
1969,9896695,90408,20550,144155,143165,7948,91088,74263,235243,120653,3113,2301,22512,-2724,19788
1970,9805157,90624,21516,148893,147865,8102,89509,71893,238402,123327,2987,2235,24538,-4350,20188
1971,9830602,91864,23616,155233,154180,8204,86452,68652,241685,122375,3114,2411,31805,2490,34295
1972,9868379,95337,22392,164744,163661,8199,84821,65079,249565,119205,3194,2462,44456,2884,47340
1973,9919519,99518,25271,182953,181750,8086,76986,55898,259939,124437,3536,2749,57313,4615,61928
1974,9994761,98048,24970,195427,194215,8516,78130,56969,273557,126809,3744,2933,67406,3052,70458
1975,10062366,97373,26154,192869,191776,8761,76342,55511,269211,124314,3713,2835,67462,2401,69863
1976,10128220,94929,25544,188522,187378,8499,77908,56889,266430,125232,3580,2739,62146,2630,64776
1977,10189312,93011,25442,182865,181763,8436,81656,61114,264521,126214,3407,2472,55549,1307,56856
1978,10245686,90338,27071,180018,178901,8486,83915,63904,263933,127136,3053,2260,51765,2064,53829
1979,10296489,84496,26191,173084,172112,8737,83624,64505,256708,127949,2726,1945,44163,2494,46657
1980,10326792,78343,27218,154665,153801,8701,86503,68930,241168,135537,2592,1735,18264,1856,20120
1981,10303208,77453,27608,145186,144438,8525,89373,71574,234559,130407,2226,1601,14031,1717,15748
1982,10314321,76978,27821,142518,141738,9127,91531,74531,234049,130765,2130,1466,10973,1748,12721
1983,10322823,80417,29319,138132,137431,9388,92033,75037,230165,134474,1997,1368,2957,2383,5340
1984,10330481,81714,30514,137587,136941,9986,96638,79534,234225,132188,1932,1365,4753,2621,7374
1985,10336742,80653,30489,136488,135881,9957,99357,83042,235845,131641,1694,1167,4240,2195,6435
1986,10340737,81638,29560,133942,133356,9975,99452,83564,233394,132585,1639,1121,771,3013,3784
1987,10348834,83773,31036,131469,130921,9526,126690,109626,258159,127244,1577,1094,3677,2721,6398
1988,10356359,81458,30652,133238,132667,10073,129349,113730,262587,125694,1463,1003,6973,2544,9517
1989,10362257,81262,31376,128881,128356,10208,126507,111683,255388,127747,1280,886,609,1459,2068
1990,10362740,90953,32055,131094,130564,11253,126055,111268,257149,129166,1410,1003,1398,624,2022
1991,10308682,71973,29366,129850,129354,12779,120050,106042,249900,124290,1343,902,5064,2876,7940
1992,10317807,74060,28572,122142,121705,13082,109281,94180,231423,120337,1204,749,1368,11781,13149
1993,10330607,66033,30227,121470,121025,15434,85445,70634,206915,118185,1028,692,2840,5476,8316
1994,10336162,58440,30939,106915,106579,15570,67434,54836,174349,117373,847,505,-10794,9942,-852
1995,10330759,54956,31135,96397,96097,15013,61590,49531,157987,117913,740,475,-21816,9999,-11817
1996,10315353,53896,33113,90763,90446,15367,59962,48086,150725,112782,547,347,-22336,10129,-12207
1997,10303642,57804,32465,90930,90657,16194,56973,45022,147903,112744,531,326,-22087,12075,-10012
1998,10294943,55027,32363,90829,90535,17284,55654,42959,146483,109527,472,289,-18992,9488,-9504
1999,10282784,53523,23657,89774,89471,18532,52103,39382,141877,109768,413,261,-20297,8774,-11523
2000,10272503,55321,29704,91169,90910,19868,47370,34623,138539,109001,373,231,-18091,6539,-11552
2001,10224192,52374,31586,90978,90715,21359,45057,32528,136035,107755,360,212,-17040,-8551,-25591
2002,10200774,52732,31758,93047,92786,23552,43743,31142,136790,108243,385,251,-15457,12290,-3167
2003,10201651,48943,32824,93957,93685,26797,42304,29298,136261,111288,365,221,-17603,25789,8186
2004,10220577,,,,97664,,,,,107177,,,-9513,18635,9122
2005,10251079,,,,102211,,,,,107938,,,-5727,36229,30502
2006,10287189,,,,105831,,,,,104441,,,1390,34720,36110
2007,10322689,,,,114632,,,,,104636,,,9996,83945,93941
2008,10429692,,,,119570,,,,,104948,,,14622,71790,86412
2009,10491492,,,,118348,,,,,107421,,,10927,28344,39271
2010,10517247,,,,117153,,,,,106844,,,10309,15648,25957
2011,10496672,,,,108673,,,,,106848,,,1825,16889,18714
2012,10509286,,,,108576,,,,,108189,,,387,10293,10680
2013,10510719,,,,106751,,,,,109160,,,-2409,-1297,-3706
2014,10524783,,,,109860,,,,,105665,,,4195,21661,25856
2015,10542942,,,,110764,,,,,111173,,,-409,15977,15568
2016,10565284,,,,112663,,,,,107750,,,4913,20064,24977
2017,10589526,,,,114405,,,,,111443,,,2962,28273,31235
2018,10626430,,,,114036,,,,,112920,,,1116,38629,39745
2019,10669324,,,,112231,,,,,112362,,,-131,44270,44139
2020,10700155,,,,110200,,,,,129289,,,-19089,26927,7838
